z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.703704,0,0,0,-2.89004e-11,1.18965e-11,-1.18965e-11,0,0,0
0.704705,-0.00032312,0.0052805,0,0,0,0,-0.00033382,-0.00145814,0
0.705706,0,0,0,1.19935e-11,-9.80908e-12,9.80908e-12,0,0,0
0.706707,-0.00321301,-0.0082431,0,0,0,0,0.000287269,-0.000660918,0
0.707708,0,0,0,1.39346e-11,-5.6895e-12,5.6895e-12,0,0,0
0.708709,-0.00379342,0.000601029,0,0,0,0,0.000434788,-8.82439e-05,0
0.70971,0,0,0,-1.12598e-12,5.83418e-12,-5.83418e-12,0,0,0
0.710711,0.00496348,0.00581553,0,0,0,0,-5.81701e-05,-4.5751e-05,0
0.711712,0,0,0,-4.53834e-11,8.87025e-12,-8.87025e-12,0,0,0
0.712713,-0.00178291,0.00746306,0,0,0,0,-0.00035906,-0.00246076,0
0.713714,0,0,0,2.59181e-11,5.10466e-12,-5.10466e-12,0,0,0
0.714715,-0.00216062,-0.00768044,0,0,0,0,-0.000561039,-0.000743789,0
0.715716,0,0,0,-4.82289e-13,-2.25927e-11,2.25927e-11,0,0,0
0.716717,-0.00424798,-0.00635889,0,0,0,0,0.000703699,-0.000924632,0
0.717718,0,0,0,3.12424e-11,1.37922e-11,-1.37922e-11,0,0,0
0.718719,0.000683349,0.00568207,0,0,0,0,-0.000265181,0.000803518,0
0.71972,0,0,0,-4.00612e-11,-4.81257e-12,4.81257e-12,0,0,0
0.720721,0.00453658,-0.00504776,0,0,0,0,0.000168981,-0.00117467,0
0.721722,0,0,0,3.06515e-11,2.13239e-11,-2.13239e-11,0,0,0
0.722723,-0.00289177,0.00503661,0,0,0,0,-0.000915912,0.000463886,0
0.723724,0,0,0,-9.55865e-12,-9.11543e-12,9.11543e-12,0,0,0
0.724725,0.00517245,-0.0141165,0,0,0,0,-0.000277676,0.000186336,0
0.725726,0,0,0,1.75804e-11,7.53174e-12,-7.53174e-12,0,0,0
0.726727,-0.00616706,0.0101074,0,0,0,0,-0.000624236,0.000784472,0
