z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.95996,0,0,0,8.08841e-11,1.53839e-10,-1.53839e-10,0,0,0
0.960961,0.0378121,-0.0463452,0,0,0,0,-0.00326294,0.00577216,0
0.961962,0,0,0,-6.37135e-11,-1.07104e-10,1.07104e-10,0,0,0
0.962963,-0.0390854,0.0468586,0,0,0,0,0.00626353,-0.00146424,0
0.963964,0,0,0,9.28959e-11,1.46361e-10,-1.46361e-10,0,0,0
0.964965,0.0389998,-0.0465385,0,0,0,0,-0.00148263,0.00271332,0
0.965966,0,0,0,-6.09861e-11,-1.19537e-10,1.19537e-10,0,0,0
0.966967,-0.0393668,0.0472981,0,0,0,0,0.00543029,-0.00487577,0
0.967968,0,0,0,8.74545e-11,1.35598e-10,-1.35598e-10,0,0,0
0.968969,0.0399614,-0.047359,0,0,0,0,-0.00438405,0.000996739,0
0.96997,0,0,0,-7.08427e-11,-1.21341e-10,1.21341e-10,0,0,0
0.970971,-0.0400142,0.0473926,0,0,0,0,0.00226915,-0.00397011,0
0.971972,0,0,0,7.93478e-11,1.39815e-10,-1.39815e-10,0,0,0
0.972973,0.0401892,-0.0479699,0,0,0,0,-0.00570317,0.00377905,0
0.973974,0,0,0,-7.04654e-11,-1.10946e-10,1.10946e-10,0,0,0
0.974975,-0.040692,0.0478328,0,0,0,0,0.00341382,-0.00131088,0
0.975976,0,0,0,8.4849e-11,1.43967e-10,-1.43967e-10,0,0,0
0.976977,0.040332,-0.0479808,0,0,0,0,-0.00304758,0.00439791,0
0.977978,0,0,0,-6.12631e-11,-1.10177e-10,1.10177e-10,0,0,0
0.978979,-0.040702,0.0482417,0,0,0,0,0.00526436,-0.00283479,0
0.97998,0,0,0,8.77555e-11,1.36433e-10,-1.36433e-10,0,0,0
0.980981,0.0405458,-0.048011,0,0,0,0,-0.0031514,0.0022358,0
0.981982,0,0,0,-6.15594e-11,-1.14081e-10,1.14081e-10,0,0,0
0.982983,-0.0404507,0.0481452,0,0,0,0,0.0036845,-0.00363553,0
0.983984,0,0,0,8.31288e-11,1.33624e-10,-1.33624e-10,0,0,0
0.984985,0.0403786,-0.0480529,0,0,0,0,-0.00420111,0.00288689,0
0.985986,0,0,0,-6.25363e-11,-1.11719e-10,1.11719e-10,0,0,0
0.986987,-0.0402479,0.0479503,0,0,0,0,0.00377104,-0.00291572,0
0.987988,0,0,0,8.23857e-11,1.3395e-10,-1.3395e-10,0,0,0
0.988989,0.0400717,-0.0479116,0,0,0,0,-0.00410599,0.00272496,0
0.98999,0,0,0,-6.25018e-11,-1.10413e-10,1.10413e-10,0,0,0
0.990991,-0.0400564,0.0477767,0,0,0,0,0.00303395,-0.00246055,0
0.991992,0,0,0,8.29144e-11,1.36513e-10,-1.36513e-10,0,0,0
0.992993,0.0397978,-0.0476577,0,0,0,0,-0.00337473,0.00446107,0
0.993994,0,0,0,-5.72649e-11,-1.09692e-10,1.09692e-10,0,0,0
0.994995,-0.0397819,0.0477703,0,0,0,0,0.00622868,-0.00346777,0
0.995996,0,0,0,8.54521e-11,1.29346e-10,-1.29346e-10,0,0,0
0.996997,0.0398771,-0.0476808,0,0,0,0,-0.00512192,-0.000645588,0
0.997998,0,0,0,-6.78562e-11,-1.12622e-10,1.12622e-10,0,0,0
0.998999,-0.0398939,0.0475246,0,0,0,0,0.00104762,0.00291337,0
1,0,0,0,9.13292e-11,1.39761e-10,-1.39761e-10,0,0,0
