z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.0750751,0,0,0,-3.03947e-12,-1.40838e-11,1.40838e-11,0,0,0
0.0760761,0.0126305,-0.00415612,0,0,0,0,-0.000274961,-5.32847e-05,0
0.0770771,0,0,0,1.78487e-11,3.21631e-11,-3.21631e-11,0,0,0
0.0780781,-0.00368177,0.000301564,0,0,0,0,-0.00212032,0.000408236,0
0.0790791,0,0,0,-1.22169e-11,-5.13257e-11,5.13257e-11,0,0,0
0.0800801,-0.00798752,0.00320979,0,0,0,0,0.000446368,-0.000645739,0
0.0810811,0,0,0,1.03286e-11,2.12002e-11,-2.12002e-11,0,0,0
0.0820821,0.0134401,-0.0050675,0,0,0,0,-0.00107811,-0.00017855,0
0.0830831,0,0,0,1.01786e-11,8.85708e-12,-8.85708e-12,0,0,0
0.0840841,-0.0106176,0.00304065,0,0,0,0,-0.00131119,-0.000186226,0
0.0850851,0,0,0,-1.12876e-11,-4.05718e-11,4.05718e-11,0,0,0
0.0860861,0.000317127,0.000360216,0,0,0,0,0.000711686,-0.000940816,0
0.0870871,0,0,0,1.62734e-11,3.84502e-11,-3.84502e-11,0,0,0
0.0880881,0.00932575,-0.00406034,0,0,0,0,-0.00140214,-0.000179371,0
0.0890891,0,0,0,6.14923e-13,-1.28205e-11,1.28205e-11,0,0,0
0.0900901,-0.012647,0.00414469,0,0,0,0,-0.000386539,-0.000567496,0
0.0910911,0,0,0,-7.44917e-12,-2.20749e-11,2.20749e-11,0,0,0
0.0920921,0.00625759,-0.00198767,0,0,0,0,0.000635567,-0.000902359,0
0.0930931,0,0,0,1.66013e-11,4.01863e-11,-4.01863e-11,0,0,0
0.0940941,0.00395202,-0.0024185,0,0,0,0,-0.00137887,-0.000136656,0
0.0950951,0,0,0,-6.57517e-12,-2.66638e-11,2.66638e-11,0,0,0
0.0960961,-0.0115471,0.00398254,0,0,0,0,0.000308744,-0.000742362,0
0.0970971,0,0,0,-2.90936e-12,-5.19835e-12,5.19835e-12,0,0,0
0.0980981,0.00928245,-0.00348967,0,0,0,0,0.000413363,-0.00071978,0
0.0990991,0,0,0,1.4356e-11,3.396e-11,-3.396e-11,0,0,0
0.1001,-0.000518675,-0.000991493,0,0,0,0,-0.00118973,-9.13322e-05,0
0.101101,0,0,0,-1.04784e-11,-3.30182e-11,3.30182e-11,0,0,0
0.102102,-0.00932343,0.0032061,0,0,0,0,0.000725229,-0.000777057,0
0.103103,0,0,0,9.9181e-13,6.48005e-12,-6.48005e-12,0,0,0
0.104104,0.0102557,-0.00431335,0,0,0,0,0.000201673,-0.000513507,0
0.105105,0,0,0,1.18218e-11,2.61256e-11,-2.61256e-11,0,0,0
0.106106,-0.0034014,-9.99573e-05,0,0,0,0,-0.000967598,-4.00707e-05,0
0.107107,0,0,0,-1.1882e-11,-3.46506e-11,3.46506e-11,0,0,0
0.108108,-0.00727337,0.00233703,0,0,0,0,0.000940135,-0.000725669,0
0.109109,0,0,0,3.74346e-12,1.29455e-11,-1.29455e-11,0,0,0
0.11011,0.010245,-0.00474583,0,0,0,0,7.62872e-05,-0.000324876,0
0.111111,0,0,0,1.01516e-11,2.02227e-11,-2.02227e-11,0,0,0
0.112112,-0.00478552,0.000255875,0,0,0,0,-0.000787816,4.26395e-05,0
0.113113,0,0,0,-1.19182e-11,-3.41627e-11,3.41627e-11,0,0,0
0.114114,-0.00598114,0.0016859,0,0,0,0,0.00103662,-0.00061345,0
0.115115,0,0,0,5.24633e-12,1.53349e-11,-1.53349e-11,0,0,0
0.116116,0.00998548,-0.00498789,0,0,0,0,5.13941e-05,-0.000152072,0
0.117117,0,0,0,9.69565e-12,1.75981e-11,-1.75981e-11,0,0,0
0.118118,-0.00494801,0.000185955,0,0,0,0,-0.000689213,0.000181542,0
0.119119,0,0,0,-1.14128e-11,-3.30562e-11,3.30562e-11,0,0,0
0.12012,-0.00559811,0.00140859,0,0,0,0,0.00105443,-0.000446677,0
0.121121,0,0,0,5.4571e-12,1.45585e-11,-1.45585e-11,0,0,0
0.122122,0.00976917,-0.0050908,0,0,0,0,0.000111013,1.35621e-05,0
0.123123,0,0,0,1.03694e-11,1.83641e-11,-1.83641e-11,0,0,0
0.124124,-0.00406741,-0.000209611,0,0,0,0,-0.000689237,0.000384344,0
0.125125,0,0,0,-1.07002e-11,-3.16289e-11,3.16289e-11,0,0,0
0.126126,-0.0060575,0.00156252,0,0,0,0,0.000984862,-0.00022701,0
0.127127,0,0,0,4.22061e-12,1.08583e-11,-1.08583e-11,0,0,0
0.128128,0.00948007,-0.0049564,0,0,0,0,0.000230976,0.000166247,0
0.129129,0,0,0,1.18143e-11,2.18878e-11,-2.18878e-11,0,0,0
0.13013,-0.00218012,-0.00087657,0,0,0,0,-0.000782261,0.000630975,0
0.131131,0,0,0,-9.62091e-12,-2.91045e-11,2.91045e-11,0,0,0
0.132132,-0.00712099,0.00210573,0,0,0,0,0.000785749,3.84325e-05,0
0.133133,0,0,0,1.3156e-12,4.00085e-12,-4.00085e-12,0,0,0
0.134134,0.00865304,-0.00436333,0,0,0,0,0.000385319,0.000281167,0
0.135135,0,0,0,1.33444e-11,2.67016e-11,-2.67016e-11,0,0,0
0.136136,0.000685026,-0.00177408,0,0,0,0,-0.000924109,0.000866941,0
0.137137,0,0,0,-7.59742e-12,-2.38734e-11,2.38734e-11,0,0,0
0.138138,-0.00828145,0.00283701,0,0,0,0,0.000409077,0.000331254,0
0.139139,0,0,0,-3.25111e-12,-5.99891e-12,5.99891e-12,0,0,0
0.14014,0.00659992,-0.00303633,0,0,0,0,0.000536293,0.000326006,0
0.141141,0,0,0,1.37976e-11,3.01067e-11,-3.01067e-11,0,0,0
0.142142,0.00421465,-0.00277407,0,0,0,0,-0.00101649,0.00100424,0
0.143143,0,0,0,-3.89417e-12,-1.41462e-11,1.41462e-11,0,0,0
0.144144,-0.00864461,0.00332875,0,0,0,0,-0.000153366,0.000615764,0
0.145145,0,0,0,-8.70159e-12,-1.76557e-11,1.76557e-11,0,0,0
0.146146,0.00275416,-0.000815437,0,0,0,0,0.000613726,0.000286673,0
0.147147,0,0,0,1.15662e-11,2.81376e-11,-2.81376e-11,0,0,0
0.148148,0.00743127,-0.00351249,0,0,0,0,-0.000918601,0.000940626,0
0.149149,0,0,0,1.71983e-12,5.01918e-13,-5.01918e-13,0,0,0
0.15015,-0.00705304,0.00297807,0,0,0,0,-0.000804346,0.000828343,0
0.151151,0,0,0,-1.29348e-11,-2.67825e-11,2.67825e-11,0,0,0
0.152152,-0.00264736,0.00203546,0,0,0,0,0.000508059,0.000195519,0
0.153153,0,0,0,5.27262e-12,1.69982e-11,-1.69982e-11,0,0,0
0.154154,0.00853153,-0.00331588,0,0,0,0,-0.000520731,0.000611733,0
0.155155,0,0,0,7.89056e-12,1.67412e-11,-1.67412e-11,0,0,0
0.156156,-0.0028044,0.00135193,0,0,0,0,-0.0012857,0.000867792,0
0.157157,0,0,0,-1.27164e-11,-2.68113e-11,2.68113e-11,0,0,0
0.158158,-0.00778269,0.0045008,0,0,0,0,0.000127044,0.000131495,0
0.159159,0,0,0,-4.54318e-12,-3.17236e-12,3.17236e-12,0,0,0
0.16016,0.00557675,-0.00148417,0,0,0,0,0.000117449,7.53755e-05,0
0.161161,0,0,0,1.09807e-11,2.60785e-11,-2.60785e-11,0,0,0
0.162162,0.00301477,-0.00114621,0,0,0,0,-0.00122436,0.000617688,0
0.163163,0,0,0,-5.71955e-12,-1.29555e-11,1.29555e-11,0,0,0
0.164164,-0.00933557,0.00492331,0,0,0,0,-0.000447434,0.000155257,0
0.165165,0,0,0,-1.34576e-11,-2.37795e-11,2.37795e-11,0,0,0
0.166166,-0.00147853,0.00183335,0,0,0,0,0.000667916,-0.000426567,0
0.167167,0,0,0,6.67841e-12,1.85454e-11,-1.85454e-11,0,0,0
0.168168,0.00670554,-0.00281315,0,0,0,0,-0.000395133,5.11686e-05,0
0.169169,0,0,0,5.59768e-12,9.91662e-12,-9.91662e-12,0,0,0
0.17017,-0.00481675,0.00219345,0,0,0,0,-0.000800381,0.000197427,0
0.171171,0,0,0,-1.38827e-11,-2.88023e-11,2.88023e-11,0,0,0
