z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.0880881,-0.0125964,0.0119173,0,0,0,0,-0.00151393,-0.00156338,0
0.0890891,0,0,0,-3.32521e-11,-2.66609e-11,2.66609e-11,0,0,0
0.0900901,0.00444859,-0.00666188,0,0,0,0,0.00100264,-0.00291639,0
0.0910911,0,0,0,2.91929e-11,4.77987e-11,-4.77987e-11,0,0,0
0.0920921,0.0016952,-0.000658634,0,0,0,0,-0.000402648,-0.000906752,0
0.0930931,0,0,0,-4.66326e-11,-1.76985e-11,1.76985e-11,0,0,0
0.0940941,-0.00391605,0.00593299,0,0,0,0,0.00172168,-0.00262434,0
0.0950951,0,0,0,6.30292e-12,2.74039e-11,-2.74039e-11,0,0,0
0.0960961,0.00572383,-0.00945137,0,0,0,0,0.000904183,-0.000743027,0
0.0970971,0,0,0,-2.28501e-11,-1.37901e-11,1.37901e-11,0,0,0
0.0980981,-0.00936589,0.0103417,0,0,0,0,0.0021519,-0.000850108,0
0.0990991,0,0,0,-3.30913e-11,2.95544e-12,-2.95544e-12,0,0,0
0.1001,0.0116125,-0.00822785,0,0,0,0,0.00180494,-0.000704879,0
0.101101,0,0,0,1.28784e-11,1.36873e-11,-1.36873e-11,0,0,0
0.102102,-0.0110906,0.00254272,0,0,0,0,0.000822212,0.00122617,0
0.103103,0,0,0,-5.5391e-11,-5.92321e-11,5.92321e-11,0,0,0
0.104104,0.000241063,0.00462144,0,0,0,0,0.00305981,-0.000374494,0
0.105105,0,0,0,1.66105e-11,4.40761e-11,-4.40761e-11,0,0,0
0.106106,0.0114837,-0.0122126,0,0,0,0,-0.000502246,0.00187723,0
0.107107,0,0,0,-1.49919e-11,-5.00142e-11,5.00142e-11,0,0,0
0.108108,-0.0226604,0.0125774,0,0,0,0,0.00118524,0.0012853,0
0.109109,0,0,0,-3.21686e-11,-3.88129e-11,3.88129e-11,0,0,0
0.11011,0.0169341,-0.0090555,0,0,0,0,0.00144041,0.000479887,0
0.111111,0,0,0,4.51334e-11,4.929e-11,-4.929e-11,0,0,0
0.112112,-0.00309695,-0.00372466,0,0,0,0,-0.00238815,0.0027334,0
0.113113,0,0,0,-3.83075e-11,-9.36385e-11,9.36385e-11,0,0,0
0.114114,-0.0173955,0.010299,0,0,0,0,0.00143396,0.000124129,0
0.115115,0,0,0,1.80895e-11,1.51823e-11,-1.51823e-11,0,0,0
0.116116,0.0231152,-0.016134,0,0,0,0,-0.000974196,0.00114175,0
0.117117,0,0,0,3.39776e-11,1.73118e-11,-1.73118e-11,0,0,0
0.118118,-0.0158959,0.00628479,0,0,0,0,-0.00242105,0.00163941,0
0.119119,0,0,0,-3.14029e-11,-8.15202e-11,8.15202e-11,0,0,0
0.12012,-0.00342219,0.000141919,0,0,0,0,0.00108403,-0.000776548,0
0.121121,0,0,0,4.83749e-11,4.76662e-11,-4.76662e-11,0,0,0
0.122122,0.0157783,-0.0120844,0,0,0,0,-0.0021541,0.00112814,0
0.123123,0,0,0,6.68309e-12,-1.37863e-11,1.37863e-11,0,0,0
0.124124,-0.0158957,0.00830708,0,0,0,0,-0.00127176,1.81695e-05,0
0.125125,0,0,0,-3.48531e-12,-3.48314e-11,3.48314e-11,0,0,0
